route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
344-13167,DEC22-D18CAR-2_Saturday,60344000470710-DEC22,,0,3440200,3440047_DEC22,57082708-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471457-DEC22,,0,3440100,3440047_DEC22,57082709-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000472039-DEC22,,0,3440100,3440047_DEC22,57082710-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000480505-DEC22,,1,2460200,3440048_DEC22,57082711-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000482035-DEC22,,1,2460500,3440048_DEC22,57082712-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-2_Saturday,60344000471851-DEC22,,0,3440200,3440047_DEC22,57082713-DEC22-D18CAR-2_Saturday
344-13167,DEC22-D18CAR-3_Sunday,70344000480555-DEC22,,1,3440200,3440048_DEC22,57082722-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481735-DEC22,,1,3440200,3440048_DEC22,57082723-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481635-DEC22,,1,3440100,3440048_DEC22,57082724-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481535-DEC22,,1,3440300,3440048_DEC22,57082725-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481435-DEC22,,1,3440200,3440048_DEC22,57082726-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481235-DEC22,,1,3440300,3440048_DEC22,57082727-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000481035-DEC22,,1,3440100,3440048_DEC22,57082728-DEC22-D18CAR-3_Sunday
344-13167,DEC22-D18CAR-3_Sunday,70344000480835-DEC22,,1,3440200,3440048_DEC22,57082729-DEC22-D18CAR-3_Sunday
